Codigo,Programa,Plan,Area,Semestre,Columna,HorasTeoria,HorasPractica,Creditos
IEM2201,Electromecánica,,Eléctrica,3,3,4,0,3
IEM2202,AeronáuticaV2,,-,4,1,4,0,3
IEM2202,Electromecánica,,Eléctrica,4,3,4,0,3
IEM2203,AeronáuticaV2,,-,5,1,3,2,2
IEM2203,Electromecánica,,Eléctrica,5,3,3,2,2
IEM2204,AeronáuticaV2,,-,6,1,3,2,2
IEM2204,Electromecánica,,Eléctrica,6,3,3,2,2
IEM2205,Electromecánica,,Eléctrica,7,3,4,0,3
IEM2206,Electromecánica,,Eléctrica,8,3,4,0,3
IEM2207,Electromecánica,,Eléctrica,9,3,4,0,3
IEM2208,Electromecánica,,Eléctrica,9,4,4,0,3
IEM2251,Electromecánica,,Eléctrica,3,4,0,2,1
IEM2251,AeronáuticaV2,,-,3,2,0,2,1
IEM2252,AeronáuticaV2,,-,4,2,0,2,1
IEM2252,Electromecánica,,Eléctrica,4,4,0,2,1
IEM2255,Electromecánica,,Eléctrica,7,4,0,2,1
IEM2256,Electromecánica,,Eléctrica,8,4,0,2,1
IEM2301,Electromecánica,,Sistemas,3,5,2,0,2
IEM2301,AeronáuticaV2,,-,8,3,2,0,2
IEM2302,Electromecánica,,Sistemas,4,5,2,0,2
IEM2303,Electromecánica,,Sistemas,6,4,3,1,3
IEM2304,Electromecánica,,Sistemas,7,1,4,0,2
IEM2305,Electromecánica,,Sistemas,7,2,3,0,2
IEM2306,AeronáuticaV2,,-,9,3,4,0,3
IEM2306,Electromecánica,,Sistemas,7,5,3,0,3
IEM2307,Electromecánica,,Sistemas,8,2,3,1,2
IEM2308,Electromecánica,,Sistemas,8,5,3,0,3
IEM2309,Electromecánica,,Sistemas,9,2,4,0,2
IEM2310,Electromecánica,,Sistemas,9,5,2,0,3
IEM2310,AeronáuticaV2,,-,8,1,2,0,3
IEM2311,Electromecánica,,Sistemas,10,5,1,3,3
IEM2352,Electromecánica,,Sistemas,4,6,0,2,1
IEM2358,Electromecánica,,Sistemas,8,6,0,2,1
IEM2360,Electromecánica,,Sistemas,9,6,0,2,1
IEM2400,AeronáuticaV2,,-,7,4,4,0,3
IEM2400,Electromecánica,,Ciencias Básicas,8,1,0,1,3
IEM2401,Electromecánica,,General,10,2,4,0,2
IEM2402,Electromecánica,,General,10,3,4,0,2
IEM2403,Electromecánica,,General,10,6,0,21,7
IEM2501,AeronáuticaV1,,-,2,6,4,0,3
IEM2501,AeronáuticaV2,,-,2,6,4,0,3
IEM2502,AeronáuticaV1,,-,4,6,4,0,3
IEM2502,AeronáuticaV2,,-,4,6,4,0,3
IEM2503,AeronáuticaV1,,-,5,3,4,0,2
IEM2503,AeronáuticaV2,,-,5,3,4,0,2
IEM2504,AeronáuticaV1,,-,5,4,4,0,3
IEM2504,AeronáuticaV2,,-,5,4,4,0,3
IEM2505,AeronáuticaV2,,-,5,9,0,0,0
IEM2507,AeronáuticaV2,,-,6,7,4,0,2
IEM2507,AeronáuticaV1,,-,6,7,4,0,2
IEM2508,AeronáuticaV1,,-,6,8,4,0,3
IEM2508,AeronáuticaV2,,-,6,8,4,0,3
IEM2509,AeronáuticaV2,,-,7,1,4,0,3
IEM2509,AeronáuticaV1,,-,7,1,4,0,3
IEM2511,AeronáuticaV1,,-,7,5,4,0,3
IEM2511,AeronáuticaV2,,-,7,5,4,0,3
IEM2512,AeronáuticaV2,,-,7,6,4,0,3
IEM2512,AeronáuticaV1,,-,7,6,4,0,3
IEM2513,AeronáuticaV2,,-,7,7,0,4,3
IEM2513,AeronáuticaV1,,-,7,7,0,4,3
IEM2515,AeronáuticaV2,,-,8,4,4,0,3
IEM2515,AeronáuticaV1,,-,8,4,4,0,3
IEM2516,AeronáuticaV1,,-,8,5,4,0,3
IEM2516,AeronáuticaV2,,-,8,5,4,0,3
IEM2517,AeronáuticaV1,,-,8,6,4,0,3
IEM2517,AeronáuticaV2,,-,8,6,4,0,3
IEM2518,AeronáuticaV2,,-,8,7,3,0,2
IEM2518,AeronáuticaV1,,-,8,7,3,0,2
IEM2519,AeronáuticaV1,,-,9,1,4,0,3
IEM2519,AeronáuticaV2,,-,9,1,4,0,3
IEM2521,AeronáuticaV1,,-,9,5,4,0,3
IEM2521,AeronáuticaV2,,-,9,5,4,0,3
IEM2522,AeronáuticaV2,,-,9,6,4,0,3
IEM2522,AeronáuticaV1,,-,9,6,4,0,3
IEM2523,AeronáuticaV1,,-,9,7,3,0,2
IEM2523,AeronáuticaV2,,-,9,7,3,0,2
IEM2524,AeronáuticaV1,,-,9,8,3,0,2
IEM2524,AeronáuticaV2,,-,9,8,3,0,2
IEM2525,AeronáuticaV1,,-,10,8,20,0,10
IEM2525,AeronáuticaV2,,-,10,8,20,0,10
MA0101,AeronáuticaV2,,-,0,2,5,0,2
MA0101,Mantenimiento Industrial,,Básicas,1,1,5,0,2
MA0101,AeronáuticaV1,,-,0,2,5,0,2
MA0101,Electromecánica,,Básicas,1,1,5,0,2
MA1102,Electromecánica,,Básicas,2,1,5,0,4
MA1102,AeronáuticaV2,,-,1,2,5,0,4
MA1102,Mantenimiento Industrial,,Básicas,2,1,5,0,4
MA1102,AeronáuticaV1,,-,1,3,5,0,4
MA1103,AeronáuticaV2,,-,2,1,4,0,4
MA1103,AeronáuticaV1,,-,2,3,4,0,4
MA1103,Electromecánica,,Básicas,3,1,4,0,4
MA1103,Mantenimiento Industrial,,Básicas,3,1,4,0,4
MA2104,AeronáuticaV1,,-,3,3,4,0,4
MA2104,AeronáuticaV2,,-,3,3,4,0,4
MA2104,Mantenimiento Industrial,,Básicas,4,1,4,0,4
MA2104,Electromecánica,,Básicas,5,1,4,0,4
MA2105,Mantenimiento Industrial,,Básicas,5,1,4,0,4
MA2105,AeronáuticaV2,,-,4,3,4,0,4
MA2105,Electromecánica,,Básicas,4,1,4,0,4
MA2105,AeronáuticaV1,,-,4,3,4,0,4
ME2208,Electromecánica,,Básicas,2,7,3,1,3
ME2208,AeronáuticaV2,,-,3,5,3,0,2
ME3208,Mantenimiento Industrial,,-,5,7,3,0,2
ME3208,AeronáuticaV1,,-,3,5,3,0,2
ME3209,Mantenimiento Industrial,,-,5,8,0,2,1
ME3209,AeronáuticaV1,,-,3,5,0,2,1
MI2101,Mantenimiento Industrial,,Solido,2,7,4,0,3
MI2101,AeronáuticaV1,,-,3,6,4,0,3
MI2106,Mantenimiento Industrial,,Solido,3,5,4,0,3
MI2106,AeronáuticaV1,,-,4,5,4,0,3
MI2202,AeronáuticaV1,,-,3,2,0,2,1
MI2202,Mantenimiento Industrial,,Eléctrica,4,5,0,2,1
MI2204,Mantenimiento Industrial,,Eléctrica,5,5,0,2,1
MI2204,AeronáuticaV1,,-,4,2,0,2,1
MI2205,AeronáuticaV1,,-,3,1,4,0,3
MI2205,Mantenimiento Industrial,,Eléctrica,4,4,4,0,3
MI2207,AeronáuticaV1,,-,4,1,4,0,4
MI2207,Mantenimiento Industrial,,Eléctrica,5,4,4,0,4
MI3103,AeronáuticaV1,,-,5,6,3,0,3
MI3103,Mantenimiento Industrial,,Solido,3,6,3,0,3
MI3104,Mantenimiento Industrial,,Solido,3,7,0,4,2
MI3104,AeronáuticaV1,,-,5,6,0,4,2
MI3108,Mantenimiento Industrial,,Fluidos,6,8,4,0,4
MI3108,AeronáuticaV1,,-,6,5,4,0,4
MI3111,AeronáuticaV1,,-,6,5,0,2,1
MI3111,Mantenimiento Industrial,,Fluidos,6,9,0,3,1
MI3115,Mantenimiento Industrial,,Solido,5,6,4,0,3
MI3115,AeronáuticaV1,,-,5,7,4,0,3
MI3116,Mantenimiento Industrial,,Fluidos,7,8,4,0,4
MI3117,Mantenimiento Industrial,,Solido,5,6,4,0,3
MI3117,AeronáuticaV1,,-,5,5,4,0,3
MI3119,Mantenimiento Industrial,,Fluidos,7,9,0,2,1
MI3124,Mantenimiento Industrial,,Solido,4,8,4,0,4
MI3130,Mantenimiento Industrial,,Fluidos,5,9,4,0,4
MI3206,Mantenimiento Industrial,,Eléctrica,6,5,0,2,1
MI3209,Mantenimiento Industrial,,Eléctrica,7,4,3,0,3
MI3210,Mantenimiento Industrial,,Eléctrica,6,4,3,0,4
MI4125,Mantenimiento Industrial,,Fluidos,9,9,0,2,1
MI4126,Mantenimiento Industrial,,Fluidos,11,1,4,0,4
MI4127,Mantenimiento Industrial,,Fluidos,11,2,0,2,1
MI4136,Mantenimiento Industrial,,Solido,8,7,5,0,4
MI4209,Mantenimiento Industrial,,Eléctrica,8,4,3,0,3
MI4210,Mantenimiento Industrial,,Eléctrica,8,5,0,2,1
MI4212,Mantenimiento Industrial,,Eléctrica,9,5,4,0,4
MI4300,Mantenimiento Industrial,,Gestión,7,2,4,0,4
MI4305,Mantenimiento Industrial,,Gestión,8,2,3,0,3
MI4311,Mantenimiento Industrial,,Gestión,7,3,3,0,3
MI5135,Mantenimiento Industrial,,Fluidos,11,3,4,0,4
MI5152,Mantenimiento Industrial,,Fluidos,11,4,4,0,4
MI5215,Mantenimiento Industrial,,Eléctrica,9,4,4,0,4
MI5411,Mantenimiento Industrial,,Eléctrica,11,5,4,0,4
MI5520,Mantenimiento Industrial,,Básicas,10,10,0,30,12
MI6153,Mantenimiento Industrial,,Gestión,11,6,4,0,4
MI6252,Mantenimiento Industrial,,Fluidos,11,7,4,0,4
MI6253,Mantenimiento Industrial,,Gestión,11,8,4,0,4
MI6254,Mantenimiento Industrial,,Fluidos,11,9,4,0,4
MI6255,Mantenimiento Industrial,,Eléctrica,11,10,4,0,4
MI6351,Mantenimiento Industrial,,Gestión,9,2,4,0,4
MT6001,AeronáuticaV2,,-,6,4,3,0,2
MT6001,Electromecánica,,Básicas,4,2,3,0,2
MT6001,AeronáuticaV1,,-,6,4,3,0,2
PI2609,Mantenimiento Industrial,,Básicas,6,2,3,0,2
QU1102,AeronáuticaV1,,-,1,5,0,2,1
QU1102,Electromecánica,,Básicas,1,5,0,2,1
QU1102,AeronáuticaV2,,-,1,6,0,2,1
QU1102,Mantenimiento Industrial,,Básicas,1,5,0,2,1
QU1104,Mantenimiento Industrial,,-,2,5,0,2,1
QU1104,AeronáuticaV2,,-,2,5,0,2,1
QU1104,AeronáuticaV1,,-,2,5,0,2,1
QU1106,Mantenimiento Industrial,,Básicas,1,4,4,0,3
QU1106,AeronáuticaV1,,-,1,5,4,0,3
QU1106,Electromecánica,,Básicas,1,4,4,0,3
QU1106,AeronáuticaV2,,-,1,5,4,0,3
QU1107,AeronáuticaV2,,-,2,4,4,0,3
QU1107,AeronáuticaV1,,-,2,5,4,0,3
QU1107,Mantenimiento Industrial,,-,2,4,4,0,3
SE1100,AeronáuticaV1,,-,2,9,0,2,0
